log_10[M_LIV_GeV],Ne,err_Ne,Nmu-,err_Nmu-,Ne_LI,err_Ne_LI,Nmu_-_LI,err_Nmu_-_LI
23.310344827586206,2351478000.0,55540140.0,21649295.3,679095.0599999999,2437641000.0,57945040.0,21178321.6,672811.86
23.413793103448278,2362082000.0,59435390.0,21531727.9,610151.5599999999,2437641000.0,57945040.0,21178321.6,672811.86
23.517241379310345,2385207000.0,56496970.0,21072139.5,667440.12,2437641000.0,57945040.0,21178321.6,672811.86
23.620689655172413,2571296000.0,61594290.0,21456457.3,687697.71,2437641000.0,57945040.0,21178321.6,672811.86
23.724137931034484,2389403000.0,57034460.0,20584825.2,544156.14,2437641000.0,57945040.0,21178321.6,672811.86
23.82758620689655,2356879000.0,50962630.0,21072582.4,606880.0,2437641000.0,57945040.0,21178321.6,672811.86
23.93103448275862,2381880000.0,62413810.0,21134273.8,663291.79,2437641000.0,57945040.0,21178321.6,672811.86
24.03448275862069,2395594000.0,55771920.0,21069195.2,696235.0,2437641000.0,57945040.0,21178321.6,672811.86
24.137931034482758,2421181000.0,51522160.0,21821834.7,604091.89,2437641000.0,57945040.0,21178321.6,672811.86
24.24137931034483,2447811000.0,52018770.0,21528643.9,745639.51,2437641000.0,57945040.0,21178321.6,672811.86
24.344827586206897,2389882000.0,47929700.0,21479413.1,742564.13,2437641000.0,57945040.0,21178321.6,672811.86
24.448275862068964,2442442000.0,63682120.0,21426995.8,761191.72,2437641000.0,57945040.0,21178321.6,672811.86
24.551724137931036,2428311000.0,62339510.0,21330091.2,634423.04,2437641000.0,57945040.0,21178321.6,672811.86
24.655172413793103,2379716000.0,57020440.0,21937312.4,783162.01,2437641000.0,57945040.0,21178321.6,672811.86
24.75862068965517,2417166000.0,55474900.0,21457547.1,679008.11,2437641000.0,57945040.0,21178321.6,672811.86
24.862068965517242,2399337000.0,61848790.0,22256182.6,774513.28,2437641000.0,57945040.0,21178321.6,672811.86
24.96551724137931,2460741000.0,62200460.0,22176166.1,763814.4,2437641000.0,57945040.0,21178321.6,672811.86
25.06896551724138,2446012000.0,57318930.0,22123952.2,673631.48,2437641000.0,57945040.0,21178321.6,672811.86
25.17241379310345,2373578000.0,49270300.0,21347333.7,700916.37,2437641000.0,57945040.0,21178321.6,672811.86
25.275862068965516,2402740000.0,48273800.0,21324636.4,657131.5599999999,2437641000.0,57945040.0,21178321.6,672811.86
25.379310344827587,2315928000.0,57884040.0,21404045.6,650178.13,2437641000.0,57945040.0,21178321.6,672811.86
25.482758620689655,2477156000.0,60863070.0,20634557.9,711632.37,2437641000.0,57945040.0,21178321.6,672811.86
25.586206896551722,2371506000.0,58983640.0,21108424.9,658673.03,2437641000.0,57945040.0,21178321.6,672811.86
25.689655172413794,2421274000.0,52679590.0,21671251.2,792023.29,2437641000.0,57945040.0,21178321.6,672811.86
25.79310344827586,2330107000.0,55077350.0,21655535.2,688446.3099999999,2437641000.0,57945040.0,21178321.6,672811.86
25.896551724137932,2469712000.0,55065790.0,21572828.3,749461.53,2437641000.0,57945040.0,21178321.6,672811.86
26.0,2386548000.0,60601500.0,22068264.5,653888.38,2437641000.0,57945040.0,21178321.6,672811.86
