log_10[E_GeV],Ne,err_Ne,Nmu-,err_Nmu-
10.75838926174497,9064001000.0,179762900.0,116435031.0,2136802.6100000003
10.785234899328861,9119737000.0,188656600.0,116864240.5,2410862.7399999998
10.812080536912754,10019940000.0,189597400.0,126868544.5,2278836.79
10.838926174496647,10898870000.0,230359600.0,132142387.8,2587440.38
10.86577181208054,11090690000.0,192814900.0,135119262.2,2247953.17
10.892617449664431,11941810000.0,239694800.0,148502618.0,2688408.5
10.919463087248324,12993990000.0,290183100.0,152665870.9,2727256.2399999998
10.946308724832218,13973620000.0,273530000.0,167851355.6,2715284.6
10.97315436241611,14617330000.0,309411400.0,174134608.4,3288746.4899999998
11.000000000000004,15552330000.0,296796000.0,192350229.7,3578585.38
