log_10[E_GeV],Ne,err_Ne,Nmu-,err_Nmu-
10.24832214765101,4723888000.0,102792700.0,35671482.3,1096603.66
10.2751677852349,4760668000.0,94509860.0,39788783.2,1172344.8699999999
10.302013422818794,5233482000.0,105292500.0,39319559.8,1023506.8099999999
10.328859060402687,5397046000.0,98197820.0,42720310.2,1179322.6400000001
10.35570469798658,5678149000.0,115596900.0,46703485.9,1224044.17
10.382550335570473,6209340000.0,123933700.0,51695688.4,1164689.1400000001
10.409395973154364,6464585000.0,114513200.0,52105252.7,1348180.55
10.436241610738257,7084618000.0,116693800.0,54687175.6,1275782.71
10.46308724832215,7660577000.0,116933200.0,57462058.8,1327807.7
10.489932885906043,8152405000.0,140108400.0,61588852.7,1267644.24
10.516778523489934,8653788000.0,145421200.0,63543249.7,1471213.6099999999
10.543624161073827,8973924000.0,152001100.0,69331043.7,1502916.8699999999
10.57046979865772,9978358000.0,165686300.0,71910039.0,1529863.1300000001
10.597315436241614,10291770000.0,177847000.0,78598734.5,1450686.83
10.624161073825507,11030720000.0,162407600.0,83412051.6,1618548.8800000001
10.651006711409398,12103570000.0,156127900.0,86626366.6,1990360.8800000001
10.67785234899329,12716820000.0,176718100.0,92897533.2,1759962.2
10.704697986577184,13619410000.0,188076900.0,99962942.9,1885408.97
10.731543624161077,14768370000.0,240239400.0,103189992.0,1967770.85
10.75838926174497,15473070000.0,218183300.0,111110065.9,2137132.1100000003
10.785234899328861,16401740000.0,231079300.0,116593198.9,1993434.97
10.812080536912754,17960470000.0,263086600.0,124530315.1,2226719.9899999998
10.838926174496647,18779990000.0,243435700.0,134374974.9,2027091.2899999998
10.86577181208054,19917900000.0,254906500.0,138944958.1,2380393.67
10.892617449664431,21765240000.0,280967100.0,154297616.2,2326953.34
10.919463087248324,23078720000.0,269296700.0,159137401.7,2432469.1399999997
10.946308724832218,24228860000.0,314276500.0,166949214.3,2787818.04
10.97315436241611,25644580000.0,294927300.0,179057947.1,3101276.43
11.000000000000004,27544670000.0,310745400.0,190486863.7,2972948.34
